,pid1,pid2,cnt,throughput_avg,throughput_std,total_bytes,total_timespent,city1,city2,fips_code1,fips_code2,continent_code1,continent_code2,isp1,isp2,min_ts,max_ts,cnt_neighbour
3102,41c6713f-8f19-4b30-bbb6-8e482ab55c17,b1eb9617-e7ce-4526-9d69-b7b3f322f5b4,9,239.4272508111363,115.63654677150343,7487288,32429,Casablanca,Antony,MO,FR,Northern Africa,Western Europe,Maroc Telecom,Free SAS,2020-07-03 20:06:00.791000+00:00,2020-07-03 20:16:43.839000+00:00,6
555,0ce0c03f-3860-469d-bdef-0c4377f95d66,6ba49f6c-d3d1-436b-a240-7b9973384eeb,17,587.2561583465379,304.76423263047826,22052024,46951,Belfast,Amersfoort,UK,NL,Northern Europe,Western Europe,TalkTalk,KPN,2020-07-03 14:11:51.273000+00:00,2020-07-03 14:16:39.107000+00:00,14
4473,5f96ba2b-5b7f-4be3-a592-de1b653ed1e3,8a4d1279-8550-4fc1-a6f6-092a6ab9b2f2,69,356.28484760338864,123.23802269588613,73105304,215747,New York,The Hague,US,NL,Northern America,Western Europe,RCN,Ziggo,2020-07-03 17:01:24.183000+00:00,2020-07-03 17:31:47.783000+00:00,26
9395,cf50fdba-4c3d-4dc2-be8a-44aa66cc09f1,b7fcc28d-89f2-42ae-9dd7-cfd2a41e78ce,3,284.4720306619101,48.31718304129061,3878440,13921,Fes,Mainz,MO,GM,Northern Africa,Western Europe,Maroc Telecom,Versatel Deutschland,2020-07-03 20:31:10.408000+00:00,2020-07-03 20:31:27.542000+00:00,14
2448,38449cd9-83d3-4c77-b515-a4b6694038f8,1f2ccf3b-2b6a-42cd-90af-9e7e78d9e26b,33,365.81732237146724,81.65025416652173,42723000,123327,Lens,Oslo,FR,NO,Western Europe,Northern Europe,Free SAS,Blix Solutions,2020-07-03 19:55:26.337000+00:00,2020-07-03 20:01:25.544000+00:00,20
4999,6cc1e2fb-4249-408a-9316-a8903c31bed2,dbfb5b78-bf3f-4a05-8902-42fce2275a90,10,358.921964147639,106.47779500276557,12844912,38630,Kensington,León,UK,SP,Northern Europe,Southern Europe,Virgin Media,Jazztel,2020-07-03 11:06:05.857000+00:00,2020-07-03 11:10:55.688000+00:00,18
8460,b9f2a7a4-a14d-4446-88e1-e35123ddd2a2,bd10cda1-679e-4283-919d-9bb95e6dee0f,38,366.80150292149426,116.36084328615013,48686736,143755,Lochem,Milan,NL,IT,Western Europe,Southern Europe,KPN,Telecom Italia,2020-07-03 17:04:51.945000+00:00,2020-07-03 17:17:33.187000+00:00,6
9336,ce4bbf73-e623-4e13-bce8-4d3151a8aa88,0b052bb7-873f-4de1-83fd-6cf7fbe2a621,6,401.2565610156702,193.70909356242137,7687696,23729,Porto,Hamelin,PO,GM,Southern Europe,Western Europe,"Nos Comunicacoes, S.A.",O2 Deutschland,2020-07-03 13:58:52.362000+00:00,2020-07-03 14:03:37.463000+00:00,12
1455,214dea2e-697b-425a-8b72-beca0a4b8913,0393280c-7cce-4845-b7be-3d37862dfa6a,31,232.08983003452659,57.68416570912785,40111304,181524,Montagnat,Champigny-sur-Marne,FR,FR,Western Europe,Western Europe,SFR,SFR,2020-07-03 18:56:12.639000+00:00,2020-07-03 22:51:13.202000+00:00,20
1977,2dbb5dbf-a0b8-4a09-a03e-7ff1466a35b2,f3e97676-8775-42c6-9550-3e01bd9a39ac,25,83.22359554956185,9.636791538577866,11205176,136421,Barcelona,Newark,SP,US,Southern Europe,Northern America,Orange Espana,Verizon Fios,2020-07-03 15:37:40.201000+00:00,2020-07-03 15:40:55.488000+00:00,17
7758,a54654d9-2ef7-4b8e-904f-fb899b7ec6d7,a9ab3995-0214-4432-84e5-56d7796399f3,109,355.2526407191377,84.80669043188412,140875544,420726,Monsummano Terme,Barcelona,IT,SP,Southern Europe,Southern Europe,Telecom Italia,Telefonica de Espana,2020-07-03 13:32:29.779000+00:00,2020-07-03 14:18:54.156000+00:00,14
2464,38b3ae49-6c92-44a7-94e4-d29f03368fb1,b3b38336-5d43-4fd4-a1f0-798e8e8222f7,93,407.1025012902094,121.2366194785111,120054168,320795,Pilar de la Horadada,Kista,SP,SW,Southern Europe,Northern Europe,"Concisa, Comunicacion, Marketing y Servicios S.L.",Com Hem,2020-07-03 19:04:51.776000+00:00,2020-07-03 19:27:14.500000+00:00,35
9092,c7c45296-4157-46b3-a8b3-086a25591c67,79b7ea09-ed01-4eb2-8190-bff61996deb0,77,277.75574408993526,50.608572071802314,99912600,371531,Herstal,Doha,BE,QA,Western Europe,Western Asia,VOO,OOREDOO,2020-07-03 23:07:07.197000+00:00,2020-07-03 23:39:20.537000+00:00,15
9081,c7c42798-8c26-4cbc-95a3-40742c08ad4c,64572a07-9c35-4947-8c69-0bbb343c11e3,9,311.84031280867646,49.947201918664035,11770680,38653,Casablanca,Copenhagen,MO,DA,Northern Africa,Northern Europe,Orange Morocco,Dansk Kabel TV,2020-07-03 21:39:09.301000+00:00,2020-07-03 21:43:11.749000+00:00,32
7171,9c614678-9ea2-4e58-afa7-de33eef191b2,771332ea-5ca0-4201-b0de-2ed675005725,23,328.5378454665193,82.09218141612371,29447944,94944,L'Hospitalet de Llobregat,Frankfurt am Main,SP,GM,Southern Europe,Western Europe,Jazztel,Unitymedia,2020-07-03 20:35:32.561000+00:00,2020-07-03 20:43:52.814000+00:00,6
7864,a9ab3995-0214-4432-84e5-56d7796399f3,10c49a93-6aff-42ee-97b7-7067d6ea52f0,17,609.1313543464056,192.80120571042076,22121208,39495,Barcelona,Barcelona,SP,SP,Southern Europe,Southern Europe,Telefonica de Espana,Masmovil,2020-07-03 12:38:01.198000+00:00,2020-07-03 12:47:05.778000+00:00,10
910,1677c5e7-8e70-4aea-bb9d-e1c9a0c86259,005cad7a-52be-472b-baee-453e75b98702,14,720.0587696324887,160.08743566509293,17875792,26054,Zamora,Brussels,SP,BE,Southern Europe,Western Europe,Vodafone Ono,Telenet,2020-07-03 22:16:58.450000+00:00,2020-07-03 22:23:18.064000+00:00,9
7069,99c48232-ef93-43a7-a286-e68c2fe3415e,f2862a66-392e-4cfc-b6c7-63c8cdce1ed4,23,379.9690470975783,164.1442587570122,29802888,90376,Madrid,Liège,SP,BE,Southern Europe,Western Europe,Masmovil,Proximus Pickx,2020-07-03 19:44:46.272000+00:00,2020-07-03 19:56:23.027000+00:00,9
3303,44c6d024-9532-474f-b48e-e5e65e082634,ff223618-55f9-406b-94f9-82c132c4ad84,3,141.6633498515919,12.32998094080099,1345704,9553,Douar Tardane,Montreal,MO,CA,Northern Africa,Northern America,Maroc Telecom,Videotron Ltee,2020-07-03 21:49:24.043000+00:00,2020-07-03 21:49:31.205000+00:00,6
5458,75f9c128-552f-4412-a8eb-2ecc00b269be,74745031-4e83-441e-8083-7421f99921f9,7,659.8671009122545,290.52528032376887,9219144,16951,Marseille,Paris,FR,FR,Western Europe,Western Europe,Bouygues Telecom,Wifirst S.A.S.,2020-07-03 21:03:20.245000+00:00,2020-07-03 21:12:47.449000+00:00,20
9438,d0354c9b-d967-411e-aff1-b5c8c2d97343,cf2b972b-ef74-4878-9c61-c21c97bd4098,117,308.7808636579246,84.49017535640132,150889176,521936,Sherbrooke,Gardner,CA,US,Northern America,Northern America,Videotron Ltee,Comcast Cable,2020-07-03 01:08:29.293000+00:00,2020-07-03 01:42:02.462000+00:00,12
7163,9c5b7e07-c04b-4295-bc55-9339ab2a6050,8fd8e50b-5e05-4741-b23e-0760b5695652,2,109.3693888957047,65.9416135469716,428828,4748,Algiers,Lagny-sur-Marne,AG,FR,Northern Africa,Western Europe,Algerie Telecom,Free SAS,2020-07-03 13:21:23.840000+00:00,2020-07-03 13:21:25.292000+00:00,8
7467,a0bd0409-52c1-43fd-bcfd-e886ee240542,1e95b483-6a4e-4935-80fc-f74d43ac78af,59,239.0222836413489,45.51092168840876,70228904,294982,Casablanca,Columbia,MO,US,Northern Africa,Northern America,Maroc Telecom,Spirit Communications,2020-07-03 22:22:21.287000+00:00,2020-07-03 23:22:15.097000+00:00,23
251,04e60699-2829-4d12-9456-7735cabf3998,0b052bb7-873f-4de1-83fd-6cf7fbe2a621,9,258.7443167094363,31.94808796530884,11602232,45443,Amsterdam,Hamelin,NL,GM,Western Europe,Western Europe,Ziggo,O2 Deutschland,2020-07-03 14:02:10.551000+00:00,2020-07-03 14:12:11.135000+00:00,7
5453,75f9c128-552f-4412-a8eb-2ecc00b269be,c9e722ac-7338-4f32-aecf-70faaf532aa9,23,524.0593628901912,205.9142109702938,29869064,66135,Marseille,Milton Keynes,FR,UK,Western Europe,Northern Europe,Bouygues Telecom,Sky Broadband,2020-07-03 20:10:13.093000+00:00,2020-07-03 20:23:51.466000+00:00,20
7511,a1bb322c-f66c-4bd5-86f3-d7edd81aa3b6,cf2b972b-ef74-4878-9c61-c21c97bd4098,7,282.2445760141104,61.87044782421697,8795016,32288,Montreal,Gardner,CA,US,Northern America,Northern America,Bell Canada,Comcast Cable,2020-07-03 01:33:14.730000+00:00,2020-07-03 01:40:30.416000+00:00,7
1209,1cff6f1a-5638-4f09-88e0-d71fd36a8eb2,24745bbc-07b2-4bae-a31a-4507d44d40d6,12,120.85927182307768,36.50504670688089,5262496,47056,Salé,Antequera,MO,SP,Northern Africa,Southern Europe,Maroc Telecom,Electrovideo Utrera S.A.,2020-07-03 16:05:13.345000+00:00,2020-07-03 16:05:58.412000+00:00,25
184,03d686d8-4fdd-41e4-a32b-92b1e25c91ba,e0736d43-000d-4075-bdd5-2bba596c3829,2,239.20002847082728,30.152614635266584,1781488,7487,Meknes,Allentown,MO,US,Northern Africa,Northern America,Maroc Telecom,RCN,2020-07-03 21:20:53.195000+00:00,2020-07-03 21:20:57.326000+00:00,11
3724,4f053f70-7c35-412d-a7d0-5df5ed900ebe,4b299694-3e85-4e6d-9cda-a89204394861,141,411.72292913740296,128.12583773458667,179149336,482843,Tangier,Linköping,MO,SW,Northern Africa,Northern Europe,Maroc Telecom,Bahnhof AB,2020-07-03 19:10:15.870000+00:00,2020-07-03 21:30:39.079000+00:00,15
3360,47903bd2-b835-427b-9c38-6777a60261b6,617a0fc1-0cd9-4d7a-9468-d6d383755f48,6,348.20096162870556,111.8379719084993,7714768,23734,Monza,Les Clayes-sous-Bois,IT,FR,Southern Europe,Western Europe,Telecom Italia Mobile,SFR,2020-07-03 11:27:01.660000+00:00,2020-07-03 11:27:49.262000+00:00,14
7908,ab95ce27-ceaf-412d-84ba-b810cc0a670b,f279f325-7ea0-456f-9e96-739aa68e98ab,32,364.0680180571534,84.98377846285639,41266752,119177,Montreal,Oelde,CA,GM,Northern America,Western Europe,VIF Internet,Deutsches Forschungsnetz,2020-07-03 01:04:10.413000+00:00,2020-07-03 01:08:56.453000+00:00,6
4121,596efb4f-21bf-4a15-80c4-93f73fa798ee,274efa91-1318-4983-8940-f04d97e14371,4,321.7740664584964,141.5770490231377,5286560,18289,Cologne,Leiden,GM,NL,Western Europe,Western Europe,NetCologne GmbH,Euronet Communications B.V.,2020-07-03 16:10:34.557000+00:00,2020-07-03 16:13:09.943000+00:00,21
5844,8204c4c8-a698-41dc-a6e0-5ee35ef48cab,97dee099-e87b-460a-87aa-0ccbc88a5f82,19,304.4606315424212,72.92910810750276,24582504,84603,Cardiff,Montreal,UK,CA,Northern Europe,Northern America,Virgin Media,Cogent Communications,2020-07-03 02:07:10.835000+00:00,2020-07-03 02:16:40.537000+00:00,17
3955,559b6a3d-fbb5-4b64-b4bc-29a513f33665,fc538833-0e1e-42c3-bc2d-0e0db47ec5fe,23,111.17471163761684,58.01053537581174,4881044,52787,Biskra,Saint-Gilles,AG,BE,Northern Africa,Western Europe,Algerie Telecom,Proximus Pickx,2020-07-03 19:57:30.107000+00:00,2020-07-03 20:00:29.110000+00:00,15
3841,52a1f6cb-2f87-4a81-bfb7-4a5b3de40c30,70dc90ed-024d-44b1-bfd8-3209419f48c3,48,803.1935383137534,342.3719754365375,61197760,91343,Palaiseau,Rome,FR,IT,Western Europe,Southern Europe,Bouygues Telecom,Wind Tre,2020-07-03 16:50:04.709000+00:00,2020-07-03 17:12:37.801000+00:00,13
2580,3aa5d7a3-4658-496b-a406-4d907c820996,4b06a84d-0e7b-461e-8f64-f666bf2ae174,22,483.71402148081404,163.34477492585918,28475984,66414,Brussels,Zurich,BE,SZ,Western Europe,Western Europe,Telenet,Swisscom,2020-07-03 18:08:06.787000+00:00,2020-07-03 18:19:13.505000+00:00,35
2445,38449cd9-83d3-4c77-b515-a4b6694038f8,f965ea35-d4f3-48df-afa6-92efab5fd17c,2,332.5975081898882,12.11379473537799,2605680,7840,Lens,Leicester,FR,UK,Western Europe,Northern Europe,Free SAS,Virgin Media,2020-07-03 20:30:20.277000+00:00,2020-07-03 20:32:05.177000+00:00,20
87,024fd39d-d030-409a-855a-16e066f1ce72,db62248f-c9b8-41bd-83d6-fe2c0b4139f6,15,372.94443117372447,86.91105903772943,19575688,55365,Gravelines,Ajax,FR,CA,Western Europe,Northern America,SFR,Rogers Cable,2020-07-03 15:44:40.516000+00:00,2020-07-03 15:49:35.444000+00:00,8
885,155ee4f9-ac62-46cf-9434-9afaf95fcff1,318316b4-0d7e-45bc-81c7-2e12a4b0d742,6,623.3763594093308,348.61251386500135,7597456,16608,Paris,Sermaise,FR,FR,Western Europe,Western Europe,Free SAS,Wifirst S.A.S.,2020-07-03 11:51:37.092000+00:00,2020-07-03 11:55:42.206000+00:00,19
